"","Accipiter_gentilis","Accipiter_nisus","Acrocephalus_arundinaceus","Acrocephalus_palustris","Acrocephalus_scirpaceus","Aegithalos_caudatus","Aix_galericulata","Alauda_arvensis","Anas_platyrhynchos","Anser_anser","Anthus_trivialis","Buteo_buteo","Carduelis_cannabina","Carduelis_carduelis","Carduelis_chloris","Certhia_brachydactyla","Certhia_familiaris","Charadrius_dubius","Circus_aeruginosus","Coccothraustes_coccothraustes","Columba_livia","Columba_oenas","Columba_palumbus","Corvus_corax","Corvus_corone","Corvus_monedula","Coturnix_coturnix","Cuculus_canorus","Delichon_urbicum","Dendrocopos_major","Dendrocopos_medius","Dendrocopos_minor","Dryocopus_martius","Emberiza_citrinella","Emberiza_schoeniclus","Erithacus_rubecula","Falco_tinnunculus","Ficedula_hypoleuca","Fringilla_coelebs","Fulica_atra","Galerida_cristata","Gallinula_chloropus","Garrulus_glandarius","Hippolais_icterina","Hirundo_rustica","Jynx_torquilla","Lanius_collurio","Locustella_fluviatilis","Locustella_luscinioides","Locustella_naevia","Lullula_arborea","Luscinia_megarhynchos","Miliaria_calandra","Motacilla_alba","Motacilla_flava","Muscicapa_striata","Oenanthe_oenanthe","Oriolus_oriolus","Parus_ater","Parus_caeruleus","Parus_cristatus","Parus_major","Parus_palustris","Passer_montanus","Phasianus_colchicus","Phoenicurus_ochruros","Phoenicurus_phoenicurus","Phylloscopus_collybita","Phylloscopus_sibilatrix","Phylloscopus_trochilus","Pica_pica","Picus_viridis","Podiceps_cristatus","Podiceps_grisegena","Prunella_modularis","Pyrrhula_pyrrhula","Rallus_aquaticus","Regulus_ignicapilla","Regulus_regulus","Saxicola_rubetra","Saxicola_torquatus","Serinus_serinus","Sitta_europaea","Streptopelia_decaocto","Strix_aluco","Sturnus_vulgaris","Sylvia_atricapilla","Sylvia_borin","Sylvia_communis","Sylvia_curruca","Sylvia_nisoria","Tachybaptus_ruficollis","Troglodytes_troglodytes","Turdus_merula","Turdus_philomelos"
"BE26",0,0,0,0,0,1,0,0,2,0,0,0,0,0,6,10,0,0,0,0,2,0,13,0,2,0,0,0,0,6,0,0,0,0,0,5,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,16,0,39,0,0,0,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,19,10,0,0,3,0,0,5,26,0
"BE27",0,0,0,0,0,1,0,0,0,0,0,0,3,0,11,4,0,0,0,2,1,0,17,0,14,0,0,0,0,3,0,0,0,1,0,3,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,26,2,36,0,12,0,3,9,1,1,2,9,1,0,0,1,0,0,0,0,0,0,5,0,0,0,12,3,0,2,4,0,0,1,24,1
"BE28",0,0,0,0,1,0,0,0,2,0,0,1,0,2,0,9,2,0,0,3,0,3,6,0,0,0,0,0,0,11,0,1,1,0,0,25,0,8,46,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,31,4,28,3,0,0,0,1,2,4,0,0,0,0,0,0,0,0,6,0,0,0,0,18,0,0,3,11,0,0,0,0,0,9,14,9
"BE29",0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,3,0,15,0,12,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,14,0,10,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,6,2,0,5,0,0,0,41,0
"BE3",0,1,2,0,0,0,0,0,0,1,1,0,0,1,5,9,1,0,0,3,2,0,5,1,1,0,0,0,0,9,0,0,0,7,0,10,0,9,21,0,0,0,2,0,7,0,0,0,0,0,2,3,0,0,0,0,0,0,4,23,7,29,0,5,0,1,8,11,8,0,2,0,0,0,1,1,0,2,0,0,0,4,5,0,0,7,12,0,0,3,0,0,9,25,7
"BE30",0,0,0,0,0,1,0,1,0,0,0,0,0,1,9,1,0,0,0,0,0,0,18,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,22,0,15,1,1,9,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,13,1,0,7,0,0,6,46,1
"BE4",0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,10,0,0,0,5,0,1,19,0,8,0,0,0,0,22,0,0,1,0,0,17,0,7,36,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,44,0,52,1,7,0,2,7,3,0,0,0,1,0,0,0,0,0,12,0,0,0,0,23,0,0,8,13,0,0,3,0,0,26,40,14
"BE5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,11,0,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,6,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,11,0
"BE6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,9,0,10,0,8,0,0,0,1,1,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,15,0,0,0,2,5,0,0,0,5,1,0,0,0,0,0,0,0,0,0,3,0,0,0,8,8,0,0,1,0,0,1,16,1
"BE7",0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,0,0,0,0,8,0,32,0,22,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,23,0,22,0,3,0,5,2,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,10,0,0,1,0,0,0,51,1
"BE8",0,0,0,0,0,0,0,0,2,0,0,0,0,3,9,2,0,0,0,0,4,0,12,0,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,14,0,7,0,6,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,5,0,0,3,0,0,2,22,0
"BE9",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,6,0,0,7,0,1,5,0,1,0,0,1,0,19,1,0,1,0,0,22,0,3,55,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,29,6,27,10,0,0,0,2,3,13,1,0,0,1,0,0,0,0,5,0,0,0,0,14,0,0,2,14,0,0,0,0,0,14,17,5
