"unique_ter_id","transect","nvisits","sp_name","sp_english","sp_code","pop_den","imperv","tcd","light","noise","veg_pca1","veg_pca2","ndvi","glcm","glcm_hmg"
"BE16_T_45_Pamajo","be16",2,"Parus major","Great Tit","Pamajo",5.37314593524206,15.2863408350945,55.63,5.54900178909302,66.2015344619751,210.398958123922,-901.798946334952,0.408078466169536,0.730192187130451,0.584736334607005
"BE16_T_46_Pamajo","be16",1,"Parus major","Great Tit","Pamajo",1.14851507917047,18.2811650076509,51.92,5.51464866638184,76.7056680297852,168.688037349582,-641.270353666544,0.39425129526353,0.726557812690735,0.507357330806553
"BE16_T_4_Chchlo","be16",3,"Chloris chloris","European greenfinch","Chchlo",12.9447197995614,48.1193494224548,6.17,6.31269836425781,62.3116976165771,860.107287223339,745.998793640509,0.222284003632958,0.619295311719179,0.515649639591575
"BE16_T_4_Cocorn","be16",1,"Corvus corone","Hooded Crow","Cocorn",22.2034675492905,28.0837956380844,28.36,6.3772988319397,62.4451623153687,69.0725629332662,165.061618055403,0.32739683666965,0.678856250792742,0.431169614885002
"BE16_T_4_Copalu","be16",3,"Columba palumbus","Common Wood Pigeon","Copalu",40.9298796057701,29.6787310910225,34.78,5.88991212844849,60.2838918304443,-95.0830906540155,339.413089741468,0.297483279518783,0.666670312434435,0.523245565444231
"BE16_T_4_Lumega","be16",1,"Luscinia megarhynchos","Nightingale","Lumega",0,16.2455286672711,49.75,5.86682748794556,71.7848108673096,85.1088798716664,-603.599411635995,0.394912065938115,0.72622812628746,0.566236019022763
"BE16_T_4_Pacaer","be16",1,"Cyanistes caeruleus","Eurasian Blue Tit","Pacaer",8.15752670168877,47.8067595863342,12.46,4.76456594467163,65.4300617980957,777.438252702355,755.568219188452,0.220916997432178,0.616310936808586,0.548080589473248
"BE16_T_4_Pamajo","be16",2,"Parus major","Great Tit","Pamajo",0,17.6236000990868,52.33,5.86682748794556,74.6218100738525,176.144610891342,-444.573290331364,0.380260247003753,0.71502812474966,0.502874028161168
"BE16_T_4_Pamont","be16",2,"Passer montanus","Eurasian Tree Sparrow","Pamont",9.4465246796608,31.9471345710754,23.12,5.10216979980469,63.2661354446411,337.131608761549,227.974863087237,0.293754738988355,0.6623343744874,0.614225884079933
"BE16_T_4_Phcoll","be16",3,"Phylloscopus collybita","Common Chiffchaff","Phcoll",5.37314593524206,15.2863408350945,55.63,5.54900178909302,66.2015344619751,210.398958123922,-901.798946334952,0.408078466169536,0.730192187130451,0.584736334607005
"BE16_T_4_Phochr","be16",1,"Phoenicurus ochruros","Black Redstart","Phochr",26.7220503007993,34.3822685003281,13.43,6.27176609039307,62.2086757659912,443.725430075894,391.770907297283,0.270665460688761,0.65071562603116,0.521363801136613
