"transect","visit","sp_name","sp_english","sp_code","unique_ter_id","pop_den","imperv","tcd","light","noise","veg_pca1","veg_pca2","ndvi","glcm","glcm_hmg"
"be2",1,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_1_Pacris",0,0,95.25,2.03914880752563,45.3207969665527,-1315.93358612061,-1499.64412689209,0.557473974302411,0.825312502682209,0.781999990344048
"be2",4,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_1_Pacris",0,0,95.75,1.47476875782013,44.199764251709,-943.877128601074,-1797.93193054199,0.574423518031836,0.834335934370756,0.789249997586012
"be2",4,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_2_Pacris",0,0,83.75,1.47476875782013,43.4949884414673,-1939.34099578857,-695.293472290039,0.522994432598352,0.815859381109476,0.929999999701977
"be2",1,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_2_Pacris",0,0,94.25,2.03914880752563,42.9666881561279,-586.572761058807,-2552.15442657471,0.60276510566473,0.859804693609476,0.756249994039536
"be2",2,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_2_Pacris",0,0,91.5,1.90744614601135,43.5200424194336,-1437.39862060547,-1480.99891662598,0.564866501837969,0.832773435860872,0.863749992102385
"be2",3,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_2_Pacris",0,0,89.25,1.90744614601135,43.2273473739624,-1757.71012878418,-1028.04894781113,0.541103022173047,0.832343749701977,0.727499987930059
"be2",2,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_3_Pacris",0,0,83,2.80009174346924,43.8149309158325,-2236.23015594482,60.6285994052887,0.460769778117537,0.764218743890524,0.762499995529652
"be2",2,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_4_Pacris",0,0,86,4.22425365447998,46.4289293289185,-2150.70669555664,510.632165670395,0.406682815402746,0.746835932135582,0.780250005424023
"be2",4,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_4_Pacris",0,0,90.75,2.80009174346924,45.3304071426392,-2100.33420562744,-239.137108206749,0.484333937987685,0.785039056092501,0.783749993890524
"be2",4,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_5_Pacris",0,0,89.75,1.49326717853546,40.5209875106812,-1961.05397796631,-445.516145706177,0.509836615994573,0.802148442715406,0.891249999403954
"be2",2,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_5_Pacris",0,0,88.5,2.82499861717224,41.5762643814087,-2014.08798980713,2.51709923148155,0.457740755751729,0.772812496870756,0.756499998271465
"be2",3,"Lophophanes cristatus","European Crested Tit","Pacris","BE2_T_5_Pacris",0,0,92.5,2.82499861717224,42.515926361084,-921.784355163574,-1816.71661376953,0.56780494004488,0.841093745082617,0.844999995082617
"be2",4,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_1_Coglan",0,0,90.75,1.47476875782013,44.3643159866333,-1560.32464981079,-671.738561630249,0.51176037453115,0.809804685413837,0.813749987632036
"be2",3,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_2_Coglan",0,0,89.5,1.49326717853546,41.8976716995239,-1420.51891326904,-1077.64067268372,0.52684217877686,0.822929691523314,0.760249998420477
"be2",2,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_2_Coglan",0,0,92,1.90744614601135,43.1051988601685,-1645.70575714111,-957.409210205078,0.527852848172188,0.811132811009884,0.888749994337559
"be2",1,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_2_Coglan",0,0,91,1.90744614601135,43.514139175415,-2057.06733703613,-69.8871117830276,0.4644213039428,0.778320305049419,0.841249998658895
"be2",1,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_2_Coglan",0,0,91,1.90744614601135,43.514139175415,-2057.06733703613,-69.8871117830276,0.4644213039428,0.778320305049419,0.841249998658895
"be2",2,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_3_Coglan",0,0,90.75,2.80009174346924,45.3304071426392,-2100.33420562744,-239.137108206749,0.484333937987685,0.785039056092501,0.783749993890524
"be2",3,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_3_Coglan",0,0,87.5,4.22425365447998,45.4725046157837,-1849.05534362793,-440.443446874619,0.493403524160385,0.802617184817791,0.680750008672476
"be2",3,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_3_Coglan",0,0,87.5,4.22425365447998,45.4725046157837,-1849.05534362793,-440.443446874619,0.493403524160385,0.802617184817791,0.680750008672476
"be2",2,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_3_Coglan",0,0,86,4.22425365447998,46.4289293289185,-2150.70669555664,510.632165670395,0.406682815402746,0.746835932135582,0.780250005424023
"be2",1,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_4_Coglan",0,0,84.25,2.82499861717224,40.0999126434326,-2437.08159637451,252.3818359375,0.446936428546906,0.77347656339407,0.659749995917082
"be2",2,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_4_Coglan",0,0,87.5,2.82499861717224,41.3679208755493,-2230.13084411621,450.790693283081,0.410393653437495,0.758124995976686,0.611000001430511
"be2",3,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_4_Coglan",0,0,89.75,2.82499861717224,41.1761713027954,-1743.20092010498,-568.861952066422,0.498895961791277,0.798906251788139,0.663499996066093
"be2",3,"Garrulus glandarius","Eurasian Jay","Coglan","BE2_T_4_Coglan",0,0,91,2.82499861717224,40.6117286682129,-1313.02457046509,-1080.57787239552,0.524378005415201,0.801718752831221,0.667000003159046
