"transect","lat","long","pop_den","imperv","tcd","light","noise","veg_pca1","veg_pca2","ndvi","glcm","glcm_hmg"
"be2",52.6179,13.2861,0.630470409016125,0.630174285495281,88.7592,2.25809116232395,43.439151153183,-1545.36429221566,-879.511850590799,0.514800087544136,0.806107968735695,0.77205889412351
"be3",52.5691,13.1622,2.76878127588079,12.0491799968556,50.8296,2.27700040178299,32.6407621644974,-1427.68363578945,220.405005783322,0.387606704389209,0.723218859316409,0.685103082386404
"be4",52.582,13.2376,7.34885805065744,5.38038926027119,71.7635,2.3803837698698,40.3698790485382,-1740.27661552608,-851.778225922704,0.514831845443713,0.806537109471857,0.687956730634719
"be5",52.5683,13.3257,86.8287138864165,67.3544995527834,8.88400000000001,19.5840376976967,67.8319313446045,691.334188352092,1519.22409712116,0.146864733617046,0.566802125169337,0.48388925248608
"be6",52.5358,13.2808,60.6011946892711,60.1260462674774,13.8614,17.6965264577866,60.0487443908691,274.551472306472,1369.00463067007,0.1784106735382,0.587131828207523,0.494918546186946
"be7",52.518,13.3092,182.650981223314,72.4909096850641,8.0957,28.8908235210419,53.1838733707428,-332.996444767016,2165.39235727212,0.0922338342578919,0.530789921928942,0.479409843048081
"be8",52.5333,13.1881,42.3265401265057,67.8172574524447,7.3469,22.9464091995239,60.18207902565,1205.66293249838,1597.40474472322,0.123900502315507,0.551761750070006,0.536291333575919
"be9",52.5011,13.2145,1.83045535045785,2.11488400641531,70.7239,3.5850753888011,39.3839677476883,-2079.60355746024,-170.083973223178,0.434585629053973,0.754617078150064,0.703645736316219
"be10",52.4668,13.3309,164.265435130992,68.7568195079088,6.9489,19.552459104538,56.3903451423645,-2.73379675085237,1823.35870072147,0.118921319828459,0.548472359448299,0.442254055535421
"be11",52.431,13.3067,50.3411418811791,49.8011374402769,16.7569,16.5808779596329,55.2902856853485,405.563621279781,990.599372994935,0.214319566517369,0.61076117182225,0.463435923565365
"be12",52.4423,13.2926,53.9918663261668,43.7539742948219,21.7852,14.2477769133568,55.082603458786,-39.1689942057024,732.381217280428,0.261151830496133,0.641192234283686,0.448983540737256
"be13",52.4377,13.1308,0.18387571727857,0.124712933313847,37.2975,1.22820318159018,24.3732683463172,-2595.35089999031,841.646220608763,0.230780836226886,0.621476501321236,0.678871639951193
"be14",52.4058,13.3236,0.789028585646,5.72136849856442,26.2909517412066,4.69892050562164,51.2158551751889,-239.338375731379,-1346.0726460557,0.473010704367327,0.776884011592785,0.682233943486303
"be15",52.6347,13.4844,0.498309986393433,6.0123739221096,20.1649,4.7447020008564,63.0843263320923,790.119355785261,-1357.94305976021,0.383876575457226,0.720689078309387,0.69506018771138
"be16",52.6073,13.4507,14.6181945471984,32.1971932500631,23.8133,5.94364774103165,65.4854307041168,456.646422077888,-93.3445636384215,0.316371385390007,0.677133562619984,0.549242959314026
"be17",52.5883,13.5099,0,0,22.4257,2.30963676624298,53.6088538841247,2119.57083207746,-2898.98557576139,0.468832736459608,0.776520171783119,0.812482273887098
"be18",52.5751,13.4528,9.12991259325761,39.9424662574992,19.8825,6.61861952185631,60.3871373912811,1582.18843529617,-826.615040870462,0.342140838724096,0.693858109319955,0.618963225985318
"be19",52.5166,13.5511,21.7132545851325,43.4919273834944,21.4485,16.5684249864578,61.7223418849945,1103.84959194847,-582.457605388763,0.335879965110645,0.689917453180253,0.511306799213961
"be20",52.5065,13.396,113.39205100235,79.2525847568626,5.36939393939394,50.5541784536959,54.6983845462221,1114.33333456242,2202.62434844828,0.047726502074677,0.502415846041357,0.54360948294627
"be21",52.5253,13.5104,15.9028453781593,36.9560473846368,29.5934,25.2593058547974,54.8686190467834,1518.15191251891,-1062.68374452464,0.360576207750346,0.707019109322131,0.620896116772294
"be22",52.5511,13.4519,130.773043021129,68.1679399891228,9.1339,21.9236122781754,53.7180332054138,1454.74392696092,835.663682198223,0.178588507847298,0.587525609390438,0.482017435150966
"be23",52.5243,13.4535,210.412840884036,74.8531475703494,8.02255102040816,29.3416035451694,55.8760511378853,1431.26377113428,1070.85349565348,0.146410228823426,0.566290864102086,0.522896433363535
"be24",52.4833,13.3349,114.248695471098,58.6445675488345,18.4687,19.5553494113922,60.0911568950653,74.2378490987467,1205.2351835116,0.186560763563782,0.592580500125885,0.47980086725764
"be25",52.463,13.5786,68.4567453858038,50.3733231163213,17.3853535353535,16.190733832446,62.5483031525274,696.887467750996,30.4817800455844,0.278527853309545,0.651994854832689,0.521287038874897
"be26",52.4615,13.3897,92.8536277464628,53.4555276689559,17.4758,23.1011970695496,55.3346812385559,1017.05870641759,329.688223885568,0.253878898601335,0.635639875012636,0.493658736797236
"be27",52.4404,13.5398,44.9461562731125,58.0273644826622,13.0383838383838,23.3516371044968,60.8623051653004,1751.68553530897,220.250247250591,0.232384155406639,0.621986126836502,0.593663148510486
"be28",52.4228,13.6286,0.000806753565557301,0.76337706630826,80.5928,2.06552896716595,48.5636033306122,-1480.37145117797,-2175.54729813233,0.608883685020788,0.867775827992708,0.794297069299966
"be29",52.4006,13.4068,50.2375489505057,41.9332750484505,18.920505050505,11.7092092519818,56.3651554932257,926.30843615539,-483.047914449605,0.328813584746189,0.684839851591322,0.499525400763283
"be30",52.4059,13.3563,46.1014185232697,37.4521990179108,20.4877831687474,8.73509464415073,54.0025037808014,1315.5416626498,-1075.20037838522,0.364674952160353,0.706140336018312,0.557421242968128
