"transect","unique_ter_id","nvisits","sp_name","sp_english","sp_code","visit","pop_den","imperv","tcd","light","noise","veg_pca1","veg_pca2","ndvi","glcm","glcm_hmg"
"be10","BE10_T_10_Cocorn",3,"Corvus corone","Hooded Crow","Cocorn",3,155.542609035969,59.0504866504669,15.92,19.0605766296387,48.3394202041626,-555.478491396904,1569.37122600555,0.177532372031419,0.590251561850309,0.357146130017936
"be10","BE10_T_10_Copalu",4,"Columba palumbus","Common Wood Pigeon","Copalu",2.5,152.487550503574,68.5072527313232,6.5875,20.2989635467529,53.5169181919098,-115.133073059916,1859.20713455707,0.114841514344516,0.547067968212068,0.455230162534863
"be10","BE10_T_10_Pamajo",2,"Parus major","Great Tit","Pamajo",2.5,217.780732348561,68.0343577003479,6.61,20.0984292984009,50.0159656524658,82.1419134366512,2015.8486844492,0.0966633078742598,0.534506248906255,0.591367176920176
"be10","BE10_T_10_Tumeru",1,"Turdus merula","Common Blackbird","Tumeru",3,255.893417775631,59.5790124893188,8.15,17.6067804336548,46.4988954544067,35.1641020353604,1359.1349389863,0.161836695512611,0.58142812423408,0.414098277501762
"be10","BE10_T_11_Copalu",3,"Columba palumbus","Common Wood Pigeon","Copalu",2.33333333333333,144.949006779119,79.0147761106491,4.72,18.2137683868408,64.5490965652466,-587.099846759438,2486.97895219803,0.0429906004455552,0.500262499153614,0.504060387611389
"be10","BE10_T_11_Tumeru",3,"Turdus merula","Common Blackbird","Tumeru",2.66666666666667,294.572187006474,61.559989566803,4.63666666666667,18.0734071731567,44.9623580805461,-331.778066657782,1523.51783955157,0.161392175400106,0.574305207828681,0.455091511930029
"be10","BE10_T_12_Copalu",2,"Columba palumbus","Common Wood Pigeon","Copalu",3.5,162.892597256228,52.8444168245792,16.495,18.6477809906006,51.9807645225525,-576.331553961709,1274.48437039495,0.215603732383242,0.613366406112909,0.310516709573567
"be10","BE10_T_12_Tumeru",2,"Turdus merula","Common Blackbird","Tumeru",2.5,219.204006679356,64.5592867851257,4.18,18.5752744674683,45.3288627243042,-453.946051112413,1536.23510448471,0.157251218197562,0.573025000914931,0.411191021874547
"be10","BE10_T_13_Copalu",2,"Columba palumbus","Common Wood Pigeon","Copalu",3,202.267180368304,56.5813012266159,8.38,19.0605766296387,50.0400730895996,-11.2876847463846,1400.44234841347,0.188781693772762,0.596507813483477,0.334442190676928
"be10","BE10_T_13_Tumeru",4,"Turdus merula","Common Blackbird","Tumeru",2.5,219.204006679356,64.5592867851257,4.18,18.5752744674683,45.3288627243042,-453.946051112413,1536.23510448471,0.157251218197562,0.573025000914931,0.411191021874547
"be10","BE10_T_14_Copalu",3,"Columba palumbus","Common Wood Pigeon","Copalu",2.66666666666667,202.851051539183,93.9769329452515,0,20.2989635467529,48.5337603759766,-818.642606289387,3281.73619522095,-0.0725434570571088,0.4284375,0.618915714584291
"be10","BE10_T_14_Tumeru",4,"Turdus merula","Common Blackbird","Tumeru",2.5,35.3609321117401,46.2987271881103,15.05,18.5752744674683,48.4992353820801,-66.4635858082771,391.353116590381,0.261902131342358,0.633850000277162,0.466657361015677
"be10","BE10_T_15_Copalu",2,"Columba palumbus","Common Wood Pigeon","Copalu",2.5,242.098130378872,72.4811504936218,4.19,20.2989635467529,50.7393816375732,-618.50538143158,2018.24936276436,0.11268509262125,0.546040624305606,0.419321678727865
"be10","BE10_T_15_Tumeru",1,"Turdus merula","Common Blackbird","Tumeru",2,258.230143051594,54.7380455684662,8.11,17.822473526001,44.5930040359497,-441.706760257483,1287.98338300109,0.199144989401648,0.604178125858307,0.4055300578475
"be10","BE10_T_16_Copalu",3,"Columba palumbus","Common Wood Pigeon","Copalu",2,239.083723840614,80.5639521344503,3.61333333333333,20.4397349039714,63.0296723429362,-561.791011659404,2497.55333810647,0.0374124810156839,0.500086459244291,0.457793955045442
"be10","BE10_T_16_Tumeru",3,"Turdus merula","Common Blackbird","Tumeru",2,199.046923112124,70.2360040664673,1.58,19.6744680404663,45.7770087814331,-402.666570246518,1637.09272345543,0.150422459586407,0.570624998286366,0.46778931196779
"be10","BE10_T_17_Copalu",2,"Columba palumbus","Common Wood Pigeon","Copalu",3,221.479705870152,67.9560965061188,4.19,21.2364778518677,51.458978767395,-357.633258945942,1869.88973726392,0.138300453245902,0.562734373956919,0.305334276258945
"be10","BE10_T_17_Tumeru",3,"Turdus merula","Common Blackbird","Tumeru",1.66666666666667,120.686089456702,72.9076203854879,1.44666666666667,22.5648827934265,49.6827776463826,1105.25231553351,1531.4280880187,0.120287248076735,0.546879166886211,0.531855759806931
"be10","BE10_T_18_Copalu",2,"Columba palumbus","Common Wood Pigeon","Copalu",3.5,220.548296414316,64.7123654747009,8.18,21.9772133827209,52.0765302276611,-616.516798164993,1879.42538247794,0.145369549076222,0.56597734387964,0.304992719180882
"be10","BE10_T_18_Tumeru",2,"Turdus merula","Common Blackbird","Tumeru",2.5,153.290347508155,79.3087429571152,6.085,22.7179489135742,60.6837893867493,46.9920704756677,2350.12333584458,0.0556647858964971,0.508349219709635,0.441230164654553
"be10","BE10_T_19_Tumeru",1,"Turdus merula","Common Blackbird","Tumeru",2,221.479705870152,67.9560965061188,4.19,21.2364778518677,51.458978767395,-357.633258945942,1869.88973726392,0.138300453245902,0.562734373956919,0.305334276258945
"be10","BE10_T_1_Cacard",1,"Carduelis carduelis","European Goldfinch","Cacard",3,221.479705870152,67.9560965061188,4.19,21.2364778518677,51.458978767395,-357.633258945942,1869.88973726392,0.138300453245902,0.562734373956919,0.305334276258945
"be10","BE10_T_1_Chchlo",1,"Chloris chloris","European greenfinch","Chchlo",4,219.204006679356,64.5592867851257,4.18,18.5752744674683,45.3288627243042,-453.946051112413,1536.23510448471,0.157251218197562,0.573025000914931,0.411191021874547
"be10","BE10_T_1_Cocorn",3,"Corvus corone","Hooded Crow","Cocorn",2.66666666666667,210.834206363807,50.1165421779951,17.0333333333333,16.7323984781901,46.9242366663615,-311.618670243099,1233.02481077413,0.206777259034449,0.606358333354195,0.371915084589273
"be10","BE10_T_1_Coglan",1,"Garrulus glandarius","Eurasian Jay","Coglan",2,169.262688808143,58.71929895401,9.66,17.6658973693848,47.5452405166626,-194.736253559589,1632.16281051874,0.15922014654614,0.570198437049985,0.402351747006178
"be10","BE10_T_1_Colivi",2,"Columba livia","Feral pigeons","Colivi",2.5,160.840284113772,89.8786769390106,0.87,21.6548315048218,63.112569026947,589.014416325018,2813.43053604603,-0.000684484079120012,0.475220313183963,0.516696409676224
"be10","BE10_T_1_Copalu",3,"Columba palumbus","Common Wood Pigeon","Copalu",2.33333333333333,127.895109850913,63.6254200458527,5.76,16.2656490325928,47.7491981124878,168.505277125835,1572.8570319438,0.14256245965109,0.566176562681794,0.403251507245004
"be10","BE10_T_1_Pacaer",2,"Cyanistes caeruleus","Eurasian Blue Tit","Pacaer",1.5,159.47706512548,48.6928259861469,18.455,16.9657732009888,48.1967944526672,-205.845631639175,998.218081515729,0.231214922201434,0.620755468904972,0.383724230341613
"be10","BE10_T_1_Pamajo",1,"Parus major","Great Tit","Pamajo",3,169.262688808143,58.71929895401,9.66,17.6658973693848,47.5452405166626,-194.736253559589,1632.16281051874,0.15922014654614,0.570198437049985,0.402351747006178
"be10","BE10_T_1_Pipica",1,"Pica pica","Eurasian Magpie","Pipica",2,106.038051523268,78.6612952041626,3.88,17.6658973693848,64.0523922729492,-225.28361299336,2297.90563012123,0.0576606562134111,0.507728125080466,0.475964525304735
"be10","BE10_T_1_Stvulg",1,"Sturnus vulgaris","Common Starling","Stvulg",2,170.242585476488,46.6383469986916,17.07,18.2349853515625,55.6221088409424,-597.184616526514,979.597514784336,0.253675092735066,0.636481250375509,0.263887289129198
"be10","BE10_T_1_Syatri",1,"Sylvia atricapilla","Eurasian Blackcap","Syatri",4,313.548488840461,52.9639745616913,14.19,16.2656490325928,44.37912109375,-523.164747450948,1702.63826929092,0.157901932700479,0.577564062252641,0.348296793084592
"be10","BE10_T_1_Sycurr",2,"Sylvia curruca","Lesser whitethroat","Sycurr",3.5,268.653172373772,57.5566222095489,7.305,17.7146269798279,45.7726563453674,-234.421674481831,1393.25870839238,0.172074870484284,0.583779686801136,0.422264882549644
"be10","BE10_T_1_Tumeru",2,"Turdus merula","Common Blackbird","Tumeru",3,191.059020400047,33.7602319264412,31.15,17.6658973693848,48.6443907928467,-580.196540404186,423.579131087661,0.319867384751778,0.67533437512815,0.364196953438222
"be10","BE10_T_20_Tumeru",4,"Turdus merula","Common Blackbird","Tumeru",2.5,218.993868645746,80.3129595446587,2.3525,20.7529050350189,60.8572009468079,-531.371255961172,2477.9628474167,0.0453310347731167,0.505502344034612,0.403032686552033
"be10","BE10_T_21_Tumeru",2,"Turdus merula","Common Blackbird","Tumeru",1.5,242.098130378872,72.4811504936218,4.19,20.2989635467529,50.7393816375732,-618.50538143158,2018.24936276436,0.11268509262125,0.546040624305606,0.419321678727865
